index,name,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence
0,Smells Like Teen Spirit,Nirvana,1991,5.032,74,0.502,2.55E-05,0.502,0.912,0.000173,1,0.106,-4.556,0.0564,116.761,4,0.72
1,Stairway to Heaven - Remaster,Led Zeppelin,1971,8.047166667,78,0.338,0.58,0.338,0.34,0.0032,9,0.116,-12.049,0.0339,82.433,4,0.197
2,Bohemian Rhapsody - Remastered 2011,Queen,1975,5.905333333,74,0.392,0.288,0.392,0.402,0,0,0.243,-9.961,0.0536,143.883,4,0.228
3,Imagine - Remastered 2010,John Lennon,1971,3.1311,77,0.547,0.907,0.547,0.257,0.183,0,0.0935,-12.358,0.0252,75.752,4,0.169
4,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,1965,3.71355,77,0.723,0.0383,0.723,0.863,0.0317,2,0.128,-7.89,0.0338,136.302,4,0.931
5,Hotel California - 2013 Remaster,Eagles,1976,6.522933333,83,0.579,0.00574,0.579,0.508,0.000494,2,0.0575,-9.484,0.027,147.125,4,0.609
6,Enter Sandman,Metallica,1991,5.526216667,74,0.579,0.00206,0.579,0.824,0.00903,6,0.059,-8.71,0.03,123.331,4,0.635
7,Whole Lotta Love - 1990 Remaster,Led Zeppelin,1969,5.564883333,77,0.412,0.0484,0.412,0.902,0.131,9,0.405,-11.6,0.405,89.74,4,0.422
8,Comfortably Numb,Pink Floyd,1979,6.3716,74,0.472,0.15,0.472,0.366,0.308,11,0.0837,-12.595,0.0286,127.167,4,0.171
9,One,U2,1991,4.6031,76,0.392,0.245,0.392,0.534,0.00104,0,0.155,-8.793,0.0369,181.305,4,0.325
10,Born to Run,Bruce Springsteen,1975,4.498666667,73,0.27,0.00501,0.27,0.944,2.05E-05,4,0.116,-4.199,0.0975,146.347,4,0.606
11,Smoke on the Water,Deep Purple,1972,5.702883333,64,0.632,0.0983,0.632,0.586,0.581,0,0.0535,-11.333,0.0284,114.243,4,0.89
12,Hey Jude - Remastered 2015,The Beatles,2000,7.094216667,76,0.386,0.0112,0.386,0.607,1.38E-05,10,0.088,-7.7,0.0261,147.207,4,0.532
13,Paranoid - 2012 - Remaster,Black Sabbath,1970,2.80675,69,0.412,4.52E-05,0.412,0.658,0.000774,4,0.176,-12.051,0.0708,163.071,4,0.454
14,Seven Nation Army,The White Stripes,2003,3.862216667,65,0.726,0.00817,0.726,0.463,0.447,0,0.255,-7.828,0.0799,123.881,4,0.321
15,Free Bird,Lynyrd Skynyrd,1973,9.118433333,71,0.249,0.0738,0.249,0.834,9.48E-05,0,0.0924,-8.21,0.0577,118.223,4,0.338
16,Back In Black,AC/DC,1980,4.258216667,84,0.31,0.011,0.31,0.7,0.00965,9,0.0828,-5.678,0.047,188.386,4,0.763
17,Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,1968,6.302433333,75,0.702,0.518,0.702,0.668,0,9,0.0588,-9.237,0.214,116.063,4,0.561
18,Wish You Were Here,Pink Floyd,1975,5.57905,77,0.481,0.735,0.481,0.262,0.0114,7,0.832,-15.73,0.0414,122.883,4,0.375
19,With Or Without You - Remastered,U2,1987,4.92525,79,0.54,0.000202,0.54,0.429,0.355,2,0.141,-11.822,0.0285,110.171,4,0.113
20,Sweet Child O' Mine,Guns N' Roses,1987,5.908666667,81,0.454,0.0866,0.454,0.91,0.0996,6,0.116,-7.766,0.0448,125.116,4,0.629
21,I Still Haven't Found What I'm Looking For,U2,1987,4.6246,78,0.564,0.0135,0.564,0.774,0.00191,1,0.0861,-9.424,0.0368,100.894,4,0.657
22,Like a Rolling Stone,Bob Dylan,1965,6.16,74,0.483,0.729,0.483,0.721,0,0,0.189,-6.836,0.032,95.261,4,0.562
23,All Along the Watchtower,Jimi Hendrix,1968,4.013333333,78,0.438,0.00255,0.438,0.805,5.69E-05,8,0.0842,-6.237,0.0624,113.253,4,0.564
24,Under the Bridge,Red Hot Chili Peppers,1991,4.4051,81,0.559,0.0576,0.559,0.345,0.000105,4,0.141,-13.496,0.0459,84.581,4,0.458
25,Creep,Radiohead,1993,3.977333333,82,0.515,0.0102,0.515,0.43,0.000141,7,0.129,-9.935,0.0369,91.841,4,0.104
26,Kashmir - 1990 Remaster,Led Zeppelin,1975,8.47,69,0.48,0.488,0.48,0.536,4.22E-05,2,0.155,-11.166,0.0427,80.617,3,0.581
27,Light My Fire,The Doors,1967,7.162666667,73,0.413,0.369,0.413,0.725,2.16E-05,3,0.0905,-5.787,0.0324,124.618,4,0.44
28,My Generation - Stereo Version,The Who,1965,3.311766667,68,0.412,0.308,0.412,0.782,0.00822,2,0.0775,-9.186,0.058,96.732,4,0.705
29,More Than a Feeling,Boston,1976,4.752216667,79,0.377,0.000894,0.377,0.682,0.00217,7,0.0504,-8.039,0.0299,108.736,4,0.288
30,"Another Brick in the Wall, Pt. 2",Pink Floyd,1979,3.9791,76,0.694,0.0781,0.694,0.394,0.000677,0,0.247,-15.881,0.0428,104.126,4,0.719
31,Layla,Derek & The Dominos,1970,7.064,74,0.404,0.577,0.404,0.902,0.297,1,0.287,-3.88,0.0665,115.669,4,0.497
32,Gimme Shelter,The Rolling Stones,1969,4.512883333,75,0.634,0.447,0.634,0.63,0.039,1,0.17,-8.277,0.031,118.628,4,0.489
33,You Shook Me All Night Long,AC/DC,1980,3.502883333,80,0.532,0.00287,0.532,0.767,0.000513,7,0.39,-5.509,0.0574,127.361,4,0.755
34,Alive,Pearl Jam,1991,5.681783333,75,0.284,0.00752,0.284,0.875,0.000461,11,0.402,-6.069,0.0422,75.009,4,0.595
35,Won't Get Fooled Again - Original Album Version,The Who,1971,8.523333333,64,0.686,0.301,0.686,0.92,0.27,2,0.0807,-6.231,0.0566,135.027,4,0.225
36,London Calling - Remastered,The Clash,1979,3.341333333,73,0.651,0.123,0.651,0.801,0,0,0.0825,-7.34,0.0513,133.763,4,0.776
37,Come As You Are,Nirvana,1991,3.648666667,72,0.5,0.00016,0.5,0.824,0.00161,4,0.0916,-5.846,0.0388,120.125,4,0.539
38,Purple Haze,Jimi Hendrix,1967,2.846883333,72,0.533,0.00876,0.533,0.905,0.578,2,0.0698,-5.27,0.0754,108.9,4,0.486
39,Pride (In The Name Of Love) - Remastered 2009,U2,1984,3.8071,59,0.458,0.00135,0.458,0.843,0.000296,4,0.778,-7.201,0.0316,105.701,4,0.713
40,Dream On,Aerosmith,1973,4.449333333,79,0.307,0.388,0.307,0.433,9.08E-05,1,0.332,-10.057,0.029,160.9,4,0.224
41,Sunday Bloody Sunday - Remastered 2008,U2,1983,4.657333333,71,0.543,0.402,0.543,0.944,0.000564,6,0.0373,-7.495,0.0543,101.174,4,0.735
42,Rock and Roll - Remaster,Led Zeppelin,1971,3.676,67,0.317,0.000582,0.317,0.887,0.00258,9,0.0891,-7.292,0.0375,169.613,4,0.871
43,In My Life - Remastered 2009,The Beatles,1965,2.438883333,73,0.688,0.449,0.688,0.435,0,9,0.113,-11.359,0.0323,103.239,4,0.435
44,Let It Be - Remastered 2009,The Beatles,1970,4.050433333,78,0.443,0.631,0.443,0.403,0,0,0.111,-8.339,0.0322,143.462,4,0.41
45,Baba O'Riley,The Who,1971,5.006666667,77,0.489,0.313,0.489,0.724,0.185,5,0.287,-8.367,0.0352,117.292,4,0.15
46,Jeremy,Pearl Jam,1991,5.303766667,72,0.285,0.0404,0.285,0.846,0,2,0.182,-6.472,0.0438,108.808,4,0.287
47,Welcome To The Jungle,Guns N' Roses,1987,4.533766667,78,0.447,0.0235,0.447,0.954,0.403,8,0.298,-8.069,0.0751,123.453,4,0.331
